# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,2.209463819783559,0.7089983937457166,0.0,0,2.0,0,180.0,0.0,0.0
 0.10961609612140812,2.221479508312457,0.7089983937457166,0.0,0.21923219224281623,2.0,0,180.0,0.0,0.0
 0.15512119882156217,2.233526406107398,0.7089983937457166,0.0,0.31024239764312433,2.0,0,180.0,0.0,0.0
 0.1901063957293196,2.245604261480752,0.7089983937457166,0.0,0.3802127914586392,2.0,0,180.0,0.0,0.0
 0.2196565568366476,2.2577128227448906,0.7089983937457166,0.0,0.4393131136732952,2.0,0,180.0,0.0,0.0
 0.24573973717863482,2.2698518382121837,0.7089983937457166,0.0,0.49147947435726963,2.0,0,180.0,0.0,0.0
 0.2693645047355777,2.2820210561950023,0.7089983937457166,0.0,0.5387290094711554,2.0,0,180.0,0.0,0.0
 0.29112953340765285,2.294220225005717,0.7089983937457166,0.0,0.5822590668153057,2.0,0,180.0,0.0,-1.4004254674395174e-12
 0.31142458665484146,2.306449092956698,0.7089983937457166,0.0,0.6228491733096829,2.0,0,179.99999999999997,0.0,1.4883911037237647e-12
 0.3305201787739401,2.3187074083603165,0.7089983937457166,0.0,0.6610403575478802,2.0,0,180.0,0.0,0.0
 0.3486131089695044,2.3309949195289428,0.7089983937457166,0.0,0.6972262179390089,2.0,0,180.0,0.0,0.0
 0.36585182108524245,2.3433113747749474,0.7089983937457166,0.0,0.7317036421704849,2.0,0,180.0,0.0,0.0
 0.3823515432519423,2.355656522410701,0.7089983937457166,0.0,0.7647030865038846,2.0,0,180.0,0.0,0.0
 0.3982038309270965,2.368030110748575,0.7089983937457166,0.0,0.796407661854193,2.0,0,180.0,0.0,-1.860178777224065e-12
 0.41348285129782536,2.3804318881009388,0.7089983937457166,0.0,0.8269657025956507,2.0,0,179.99999999999997,0.0,1.924700434409841e-12
 0.4282496736678316,2.3928616027801635,0.7089983937457166,0.0,0.8564993473356632,2.0,0,180.0,0.0,0.0
 0.4425552884274023,2.4053190030986205,0.7089983937457166,0.0,0.8851105768548047,2.0,0,180.0,0.0,0.0
 0.456442786759874,2.417803837368679,0.7089983937457166,0.0,0.912885573519748,2.0,0,180.0,0.0,0.0
 0.46994896969687183,2.4303158539027105,0.7089983937457166,0.0,0.9398979393937437,2.0,0,180.0,0.0,2.160264227151135e-12
 0.48310555909607017,2.4428548010130857,0.7089983937457166,0.0,0.9662111181921403,2.0,0,180.00000000000003,0.0,-2.2144660317181684e-12
 0.4959401246406823,2.4554204270121747,0.7089983937457166,0.0,0.9918802492813645,1.9999999999999913,0,180.0,0.0,0.0
 0.5084768042190216,2.4680124802123484,0.7089983937457166,0.0,1.0169536084380433,2.000000000000009,0,180.0,0.0,0.0
 0.5207368713106634,2.4806307089259776,0.7089983937457166,0.0,1.0414737426213267,2.0,0,180.0,0.0,0.0
 0.5327391872970052,2.4932748614654328,0.7089983937457166,0.0,1.0654783745940104,2.0,0,180.0,0.0,-2.416528723456428e-12
 0.5445005659864137,2.505944686143084,0.7089983937457166,0.0,1.0890011319728274,2.0,0,179.99999999999997,0.0,2.4638462809082544e-12
 0.5560360703117594,2.518639931271303,0.7089983937457166,0.0,1.1120721406235188,2.0,0,180.0,0.0,2.510045334480407e-12
 0.5673592560088366,2.53136034516246,0.7089983937457166,0.0,1.1347185120176733,2.0,0,180.00000000000003,0.0,0.0
 0.5784823734093938,2.5441056761289245,0.7089983937457166,0.0,1.1569647468187876,2.0,0,180.00000000000003,0.0,-5.198698969317552e-12
 0.5894165358212385,2.5568756724830686,0.7089983937457166,0.0,1.178833071642477,2.0,0,179.99999999999997,0.0,2.6425709050621263e-12
 0.6001718610145793,2.5696700825372627,0.7089983937457166,0.0,1.2003437220291586,2.0,0,180.0,0.0,0.0
 0.6107575908822725,2.5824886546038766,0.7089983937457166,0.0,1.2215151817645449,1.9999999999999791,0,180.0,0.0,0.0
 0.6211821932506778,2.5953311369952816,0.7089983937457166,0.0,1.2423643865013554,2.0,0,180.0,0.0,0.0
 0.6314534489891467,2.608197278023848,0.7089983937457166,0.0,1.2629068979782931,2.0,0,180.0,0.0,0.0
 0.64157852693056,2.6210868260019464,0.7089983937457166,0.0,1.2831570538611197,2.0,0,180.0,0.0,0.0
 0.651564048623302,2.633999529241948,0.7089983937457166,0.0,1.3031280972466037,2.0,0,180.0,0.0,0.0
 0.6614161445509658,2.646935136056223,0.7089983937457166,0.0,1.3228322891019313,2.0,0,180.0,0.0,0.0
 0.671140503153835,2.659893394757142,0.7089983937457166,0.0,1.3422810063076698,2.0,0,180.0,0.0,0.0
 0.6807424137465776,2.672874053657076,0.7089983937457166,0.0,1.361484827493155,2.0,0,180.0,0.0,0.0
 0.6902268042352709,2.6858768610683943,0.7089983937457166,0.0,1.3804536084705419,2.0000000000000235,0,180.0,0.0,0.0
 0.6995982743831705,2.698901565303469,0.7089983937457166,0.0,1.399196548766341,2.0,0,180.0,0.0,0.0
 0.7088611252502928,2.7119479146746706,0.7089983937457166,0.0,1.4177222505005858,2.000000000000024,0,180.0,0.0,0.0
 0.7180193853307927,2.7250156574943687,0.7089983937457166,0.0,1.4360387706615858,2.0000000000000244,0,180.0,0.0,0.0
 0.7270768338293936,2.738104542074935,0.7089983937457166,0.0,1.4541536676587878,2.0000000000000244,0,180.0,0.0,0.0
