# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,4.050572551929697,0.7547402256002796,0.0,0,2.0,0,0.0,0.0,0.0
 0.10921082150331386,4.062499555463126,0.7547402256002796,0.0,0.21842164300662772,2.0,0,0.0,0.0,0.0
 0.1539766048612205,4.074281346774286,0.7547402256002796,0.0,0.307953209722441,2.0,0,0.0,0.0,0.0
 0.1880067684946111,4.085919096929484,0.7547402256002796,0.0,0.3760135369892222,2.0,0,0.0,0.0,0.0
 0.21642879906641804,4.097413976995029,0.7547402256002796,0.0,0.4328575981328361,2.0,0,0.0,0.0,0.0
 0.24123558217546234,4.108767158037232,0.7547402256002796,0.0,0.4824711643509247,2.0,0,0.0,0.0,0.0
 0.2634525748454569,4.119979811122398,0.7547402256002796,0.0,0.5269051496909138,2.0,0,0.0,0.0,0.0
 0.2836909504851048,4.1310531073168395,0.7547402256002796,0.0,0.5673819009702096,2.0,0,0.0,0.0,0.0
 0.30235023690608304,4.141988217686862,0.7547402256002796,0.0,0.6047004738121661,2.0,0,0.0,0.0,0.0
 0.3197088697066096,4.152786313298775,0.7547402256002796,0.0,0.6394177394132192,2.0,0,0.0,0.0,0.0
 0.33597025655434165,4.1634485652188875,0.7547402256002796,0.0,0.6719405131086833,2.0,0,0.0,0.0,0.0
 0.35128847488041814,4.1739761445135075,0.7547402256002796,0.0,0.7025769497608363,2.0,0,0.0,0.0,0.0
 0.3657836386707962,4.184370222248945,0.7547402256002796,0.0,0.7315672773415924,2.0,0,0.0,0.0,0.0
 0.3795516006576845,4.194631969491508,0.7547402256002796,0.0,0.759103201315369,2.0,0,0.0,0.0,0.0
 0.39267035204839107,4.204762557307505,0.7547402256002796,0.0,0.7853407040967821,2.0,0,0.0,0.0,0.0
 0.40520439883291687,4.214763156763243,0.7547402256002796,0.0,0.8104087976658337,2.0,0,0.0,0.0,0.0
 0.4172078462772919,4.224634938925034,0.7547402256002796,0.0,0.8344156925545838,2.0,0,0.0,0.0,0.0
 0.42872662960152735,4.2343790748591825,0.7547402256002796,0.0,0.8574532592030547,2.0,0,0.0,0.0,0.0
 0.43980016337230193,4.243996735632001,0.7547402256002796,0.0,0.8796003267446039,2.0,0,0.0,0.0,0.0
 0.45046258488369284,4.253489092309795,0.7547402256002796,0.0,0.9009251697673857,2.0,0,0.0,0.0,0.0
 0.4607437075307485,4.262857315958877,0.7547402256002796,0.0,0.921487415061497,2.0,0,0.0,0.0,0.0
 0.47066976290797985,4.272102577645551,0.7547402256002796,0.0,0.9413395258159597,2.0,0,0.0,0.0,0.0
 0.4802639862684196,4.28122604843613,0.7547402256002796,0.0,0.9605279725368391,1.9999999999999885,0,0.0,0.0,0.0
 0.4895470840146241,4.290228899396919,0.7547402256002796,0.0,0.979094168029248,1.999999999999988,0,0.0,0.0,0.0
 0.4985376110831866,4.299112301594228,0.7547402256002796,0.0,0.997075222166373,2.0,0,0.0,0.0,0.0
 0.5072522786194944,4.307877426094366,0.7547402256002796,0.0,1.0145045572389886,2.0,0,0.0,0.0,0.0
 0.5157062070927052,4.316525443963641,0.7547402256002796,0.0,1.0314124141854102,2.0,0,0.0,0.0,0.0
 0.5239131362532019,4.325057526268363,0.7547402256002796,0.0,1.0478262725064034,1.999999999999973,0,0.0,0.0,0.0
 0.5318856006183491,4.333474844074839,0.7547402256002796,0.0,1.0637712012366978,2.0,0,0.0,0.0,0.0
 0.5396350771768663,4.34177856844938,0.7547402256002796,0.0,1.0792701543537322,2.0,0,0.0,0.0,0.0
 0.5471721105178816,4.34996987045829,0.7547402256002796,0.0,1.0943442210357628,2.0,0,0.0,0.0,0.0
 0.5545064194742794,4.358049921167883,0.7547402256002796,0.0,1.1090128389485583,2.0,0,0.0,0.0,0.0
 0.561646988521051,4.366019891644463,0.7547402256002796,0.0,1.1232939770421015,2.0,0,0.0,0.0,0.0
 0.5686021465177956,4.373880952954342,0.7547402256002796,0.0,1.1372042930355908,2.0,0,0.0,0.0,0.0
 0.5753796348795548,4.381634276163827,0.7547402256002796,0.0,1.1507592697591091,2.0,0,0.0,0.0,0.0
 0.5819866668657716,4.389281032339228,0.7547402256002796,0.0,1.1639733337315428,2.0,0,0.0,0.0,0.0
 0.5884299793664104,4.396822392546851,0.7547402256002796,0.0,1.1768599587328203,2.0,0,0.0,0.0,0.0
 0.5947158783177989,4.404259527853008,0.7547402256002796,0.0,1.1894317566355974,2.0,0,0.0,0.0,0.0
 0.6008502786837228,4.4115936093240045,0.7547402256002796,0.0,1.2017005573674453,2.0000000000000364,0,0.0,0.0,0.0
 0.6068387397789085,4.418825808026151,0.7547402256002796,0.0,1.2136774795578167,2.0,0,0.0,0.0,0.0
 0.6126864965837407,4.425957295025755,0.7547402256002796,0.0,1.2253729931674813,2.0,0,0.0,0.0,0.0
 0.6183984875947145,4.432989241389127,0.7547402256002796,0.0,1.2367969751894288,2.0,0,0.0,0.0,0.0
 0.6239793796696147,4.439922818182574,0.7547402256002796,0.0,1.2479587593392292,2.0,0,0.0,0.0,0.0
 0.6294335902561188,4.446759196472405,0.7547402256002796,0.0,1.2588671805122373,2.0,0,0.0,0.0,0.0
 0.6347653073343181,4.453499547324928,0.7547402256002796,0.0,1.2695306146686358,1.9999999999999583,0,0.0,0.0,0.0
